DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2010-2011 OVERALL GRADE,2010-2011 OVERALL SCORE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,2010-2011 PERFORMANCE GRADE,2010-2011 PROGRESS CATEGORY SCORE,2010-2011 PROGRESS GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
01M015,1,P.S. 015 Roberto Clemente,Irene Sanchez,EMS,Elementary,63.61,C ,27,6.4,B ,2.1,D ,18,C ,0.5,C
01M019,1,P.S. 019 Asher Levy,Jacqueline Flanagan,EMS,Elementary,49.48,B ,48.7,7.8,B ,5.2,D ,35.1,A ,0.5,C
01M020,1,P.S. 020 Anna Silver,James Lee,EMS,Elementary,56.65,B ,48.2,7.7,B ,7.4,C ,31.1,B ,2,A
01M034,1,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte,EMS,K-8,67.97,C ,39.8,7.5,B ,11.3,B ,18.5,C ,2.5,B
01M063,1,P.S. 063 William McKinley,Darlene Despeignes,EMS,Elementary,58.85,B ,49,8.1,B ,10.4,B ,29,B ,1.5,B
01M064,1,P.S. 064 Robert Simon,Marlon L. Hosang,EMS,Elementary,60.73,C ,25.8,9.7,A ,4.5,D ,11.6,D ,0,C
01M110,1,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary,40.85,C ,38.1,4.1,C ,10.9,B ,22.1,C ,1,D
01M134,1,P.S. 134 Henrietta Szold,Loretta Caputo,EMS,Elementary,54.33,C ,34.6,4.2,C ,5.9,C ,24,C ,0.5,B
01M137,1,P.S. 137 John L. Bernstein,Melissa Rodriguez,EMS,Elementary,57.88,F ,17.6,5.1,C ,4.8,D ,6.7,F ,1,C
01M140,1,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,K-8,61.28,D ,23.6,8.4,B ,5.1,D ,9.6,D ,0.5,B
01M142,1,P.S. 142 Amalia Castro,Rhonda Levy,EMS,Elementary,63.39,C ,29.2,10,A ,7.1,C ,10.6,F ,1.5,B
01M184,1,P.S. 184m Shuang Wen,Ling Ling Chou,EMS,K-8,28.13,A ,86.8,9.8,A ,20.9,A ,50.6,A ,5.5,A
01M188,1,P.S. 188 The Island School,Mary Pree,EMS,K-8,64.17,A ,60.7,4.1,C ,7.9,C ,41.7,A ,7,C
01M292,1,Henry Street School for International Studies,Erin Balet,EMS,Middle,1.95,C ,32.4,5.1,C ,4.1,D ,18.7,C ,4.5,C
01M301,1,"Technology, Arts, and Sciences Studio",George Morgan,EMS,Middle,1.9,B ,47.6,7,B ,8.9,C ,28.7,B ,3,C
01M315,1,The East Village Community School,Robin Williams,EMS,Elementary,35.33,C ,38.2,8.6,A ,12.2,B ,16.4,C ,1,C
01M332,1,University Neighborhood Middle School,Laura Peynado,EMS,Middle,1.78,C ,39.3,10.6,A ,5.3,D ,22.4,C ,1,B
01M345,1,"Collaborative Academy of Science, Technology, & La",Judith De Los Santos,EMS,Middle,2.29,B ,41.7,6.8,B ,10.4,B ,23.5,C ,1,B
01M361,1,The Children's Workshop School,Maria Velez Clarke,EMS,Elementary,32.99,B ,42,7.7,B ,4.4,D ,27.9,B ,2,C
01M363,1,Neighborhood School,Milo Novelo,EMS,Elementary,31.12,C ,27,5.1,C ,6.2,C ,13.2,D ,2.5,C
01M364,1,Earth School,Alison Gail Hazut,EMS,Elementary,31.6,C ,31.4,11.1,A ,3.8,D ,13.5,D ,3,D
01M378,1,School for Global Leaders,Carry Chan,EMS,Middle,2.23,B ,53.8,8.6,B ,12.9,B ,27.3,B ,5,B
01M450,1,East Side Community School,Mark Federman,EMS,Middle,1.99,A ,63.5,12.5,A ,14.6,A ,27.9,B ,8.5,A
01M539,1,"New Explorations into Science, Technology and Math",Dr. Olga Livanis,EMS,K-8,13.51,A ,73.5,6.8,B ,22.4,A ,44.3,A ,0,A
01M839,1,Tompkins Square Middle School,Sonhando Estwick,EMS,Middle,2.54,B ,52.6,12.9,A ,14,B ,22.7,C ,3,A
02M001,2,P.S. 001 Alfred E. Smith,Amy Hom,EMS,Elementary,40.95,B ,42.9,4.6,C ,8.8,C ,26.5,B ,3,B
02M002,2,P.S. 002 Meyer London,Brett Gustafson,EMS,Elementary,41.72,A ,83.8,8.9,A ,13.3,B ,54.6,A ,7,A
02M003,2,P.S. 003 Charrette School,Lisa Siegman,EMS,Elementary,18.3,C ,30,8.9,A ,10.4,B ,5.7,F ,5,B
02M006,2,P.S. 006 Lillie D. Blake,Lauren Fontana,EMS,Elementary,11.23,A ,61.6,5.8,C ,13.9,B ,38.4,A ,3.5,B
02M011,2,P.S. 011 William T. Harris,Robert Bender,EMS,Elementary,31.97,A ,57.1,11.3,A ,12.6,B ,28.2,B ,5,A
02M033,2,P.S. 033 Chelsea Prep,Linore Lindy,EMS,Elementary,46.31,B ,54.8,13.3,A ,11,B ,29.5,B ,1,A
02M040,2,P.S. 040 Augustus Saint-Gaudens,Susan Felder,EMS,Elementary,15.61,A ,59.7,9.6,A ,12.1,B ,34.5,A ,3.5,A
02M041,2,P.S. 041 Greenwich Village,Kelly Shannon,EMS,Elementary,12.16,A ,58.6,11.9,A ,12.6,B ,28.6,B ,5.5,B
02M042,2,P.S. 042 Benjamin Altman,Rosa Casiello O'Day,EMS,Elementary,35.81,A ,79.2,10.1,A ,14.9,A ,49.6,A ,4.5,A
02M051,2,P.S. 051 Elias Howe,Nancy Sing Bock,EMS,Elementary,48.03,B ,53.3,11,A ,10.9,B ,28.9,B ,2.5,B
02M059,2,P.S. 059 Beekman Hill International,Adele Schroeter,EMS,Elementary,17.76,A ,66.5,9.6,A ,12.9,B ,40,A ,4,B
02M077,2,P.S. 77 Lower Lab School,Mara Ratesic Koetke,EMS,Elementary,9.89,A ,79.2,9.2,A ,18.8,A ,50.2,A ,1,A
02M089,2,P.S. 89,Veronica Najjar,EMS,Elementary,12.56,B ,42.6,8.8,A ,12.9,B ,18.9,C ,2,B
02M104,2,J.H.S. 104 Simon Baruch,Rosemarie Gaetani,EMS,Middle,3.02,B ,50.2,6.9,B ,11.2,B ,26.1,B ,6,B
02M111,2,P.S. 111 Adolph S. Ochs,Irma Medina,EMS,K-8,53.29,C ,27.5,5,C ,4.4,D ,17.1,C ,1,B
02M114,2,East Side Middle School,David Getz,EMS,Middle,3.54,A ,80.3,13.1,A ,20.6,A ,42.6,A ,4,A
02M116,2,P.S. 116 Mary Lindley Murray,Jane Hsu,EMS,Elementary,20.92,C ,40.3,8.8,A ,13.7,B ,15.3,D ,2.5,B
02M124,2,P.S. 124 Yung Wing,Alice Hom,EMS,Elementary,25.77,A ,59.9,7.4,B ,14.4,A ,33.1,B ,5,A
02M126,2,P.S. 126 Jacob August Riis,Jacqueline Getz,EMS,K-8,38.71,A ,67.8,6,C ,13.7,B ,41.1,A ,7,A
02M130,2,P.S. 130 Hernando De Soto,Lily Woo,EMS,Elementary,27.53,A ,69.8,12,A ,14.1,A ,37.7,A ,6,A
02M131,2,M.S. 131,Phyllis Tam,EMS,Middle,2.59,A ,68.3,8.7,A ,8,C ,44.6,A ,7,B
02M150,2,P.S. 150,Maggie Siena,EMS,Elementary,15.04,C ,32.4,10.4,A ,11.6,B ,10.4,F ,0,B
02M158,2,P.S. 158 Bayard Taylor,Darryl Alhadeff,EMS,Elementary,16.48,B ,50.9,3.9,C ,16,A ,28.9,B ,2,A
02M167,2,J.H.S. 167 Robert F. Wagner,Jennifer Rehn,EMS,Middle,2.96,A ,62.2,7,B ,12.9,B ,33.8,B ,8.5,B
02M183,2,P.S. 183 Robert L. Stevenson,Tara Napoleoni,EMS,Elementary,14.98,B ,43.5,6,B ,9.6,C ,22.9,C ,5,B
02M198,2,P.S. 198 Isador E. Ida Straus,Sharon Jeffrey Roebuck,EMS,Elementary,46.21,C ,26.7,1.9,F ,7.4,C ,15.4,C ,2,B
02M212,2,P.S. 212 Midtown West,Dean Ketchum,EMS,Elementary,21.28,B ,53.6,10.6,A ,14.1,A ,22.9,C ,6,A
02M217,2,P.S./I.S. 217 Roosevelt Island,Mandana Beckman,EMS,K-8,32.42,D ,23.8,4.8,C ,6.1,C ,10.4,D ,2.5,B
02M225,2,Ella Baker School,Laura Garcia,EMS,K-8,41.46,C ,39.2,7.7,B ,7.1,C ,23.4,C ,1,B
02M234,2,P.S. 234 Independence School,Lisa Ripperger,EMS,Elementary,9.76,A ,59.4,9.2,A ,12.9,B ,33.3,B ,4,B
02M255,2,M.S. 255 Salk School of Science,Rhonda Perry,EMS,Middle,3.6,A ,80.1,11.4,A ,18.6,A ,46.6,A ,3.5,B
02M260,2,M.S. 260 Clinton School Writers & Artists,Joseph Anderson,EMS,Middle,2.92,B ,55,6.7,B ,16.2,A ,26.6,B ,5.5,A
02M276,2,BATTERY PARK CITY SCHOOL,Theresa Ruyter,EMS,Middle,3.01,A ,78.3,10,A ,19.2,A ,49.1,A ,0,
02M289,2,I.S. 289,Ellen Foote,EMS,Middle,3.26,B ,57,9.1,A ,14.8,A ,29,B ,4,B
02M290,2,P.S. 290 Manhattan New School,Sharon Hill,EMS,Elementary,12.01,A ,73.6,11.5,A ,14.9,A ,42.1,A ,5,A
02M312,2,New York City Lab Middle School for Collaborative,Megan Adams,EMS,Middle,3.6,A ,84.6,10.7,A ,20,A ,47.4,A ,6.5,A
02M347,2,The 47 American Sign Language & English Lower Scho,David Bowell,EMS,K-8,63.45,A ,75,10,A ,7.7,C ,50.3,A ,7,B
02M407,2,Institute for Collaborative Education,John Pettinato,EMS,Middle,3.44,B ,44.1,10.9,A ,9.8,C ,21.9,C ,1.5,C
02M408,2,Professional Performing Arts High School,Keith Ryan,EMS,Middle,3.63,B ,50.5,5.1,C ,16.1,A ,29.3,B ,0,A
02M413,2,School of the Future High School,Stacy Paige Goldstein,EMS,Middle,3.09,A ,63.2,8.8,A ,16,A ,33.9,B ,4.5,B
02M422,2,Quest to Learn,Elisa Aragon,EMS,Middle,2.74,B ,42.8,8.3,B ,12,B ,19,C ,3.5,
02M442,2,"Ballet Tech, NYC Public School for Dance",Roy Oneill,EMS,K-8,34.06,B ,56.2,10.8,A ,14.3,A ,28.6,B ,2.5,C
02M655,2,Life Sciences Secondary School,Genevieve Stanislaus,EMS,Middle,2.19,C ,35.5,6,C ,5.8,D ,22.2,C ,1.5,C
02M896,2,Lower Manhattan Community Middle School,Kelly Mcguire,EMS,Middle,2.3,B ,50.4,9.9,A ,12.8,B ,24.2,C ,3.5,C
03M009,3,P.S. 009 Sarah Anderson,Diane Brady,EMS,Elementary,19.13,A ,59.4,10.2,A ,16.9,A ,30.8,B ,1.5,B
03M044,3,J.H.S. M044 William J. O'Shea,Liza Ortiz,EMS,Middle,1.89,,,,,,,,,,
03M054,3,J.H.S. 054 Booker T. Washington,Elana Elster,EMS,Middle,3.42,B ,55.9,8.2,B ,13.1,B ,31.1,B ,3.5,B
03M075,3,P.S. 075 Emily Dickinson,Robert O'Brien,EMS,Elementary,48.36,C ,34.7,6.7,B ,7.1,C ,20.9,C ,0,C
03M076,3,P.S. 076 A. Philip Randolph,Charles Deberry,EMS,K-8,60.79,B ,48.8,11.1,A ,6.6,C ,26.6,B ,4.5,C
03M084,3,P.S. 084 Lillian Weber,Robin Sundick,EMS,Elementary,43.74,F ,14.3,3.5,D ,2.6,D ,8.2,F ,0,C
03M087,3,P.S. 087 William Sherman,Monica Berry,EMS,Elementary,16.84,B ,45,3.5,D ,12.1,B ,23.9,C ,5.5,B
03M145,3,"P.S. 145, The Bloomingdale School",Ivelisse Alvarez,EMS,Elementary,60.76,C ,36.3,5.2,C ,5.5,D ,24.6,B ,1,B
03M149,3,P.S. 149 Sojourner Truth,Kayrol Burgess Harper,EMS,K-8,60.24,C ,29.7,4.4,C ,3.4,D ,21.4,C ,0.5,B
03M163,3,P.S. 163 Alfred E. Smith,Virginia Pepe,EMS,Elementary,40.54,C ,27.1,7.1,B ,10.2,B ,9.8,F ,0,C
03M165,3,P.S. 165 Robert E. Simon,Brett Gallini,EMS,K-8,57.58,A ,71.6,10.2,A ,8.4,C ,46,A ,7,B
03M166,3,P.S. 166 The Richard Rodgers School of The Arts an,Debbie J. Hand,EMS,Elementary,25.62,B ,41,6.7,B ,6.8,C ,24,C ,3.5,D
03M180,3,P.S. 180 Hugo Newman,Peter Mcfarlane,EMS,K-8,53.15,B ,47.3,9.7,A ,9.4,C ,26.1,B ,2,C
03M185,3,P.S. 185 John M. Langston,Jane Murphy,EC,K-2,59.28,C ,20.2,8.8,B ,4.5,C ,6.9,C ,0,C
03M191,3,P.S. 191 Amsterdam,Maria Verdesoto,EMS,K-8,53.37,C ,31.7,3.6,D ,5.8,D ,18.8,C ,3.5,C
03M199,3,P.S. 199 Jessie Isador Straus,Katy Rosen,EMS,Elementary,12.93,A ,62.6,8.2,B ,14.4,A ,36.5,A ,3.5,A
03M208,3,P.S. 208 Alain L. Locke,Susan M. Green,EMS,Elementary,63.75,D ,19.2,7.8,B ,3.6,D ,7.8,F ,0,C
03M241,3,P.S. 241 Family Academy,Diana Diaz,EMS,K-8,65.26,B ,50.2,9.8,A ,5.2,D ,31.2,B ,4,C
03M242,3,PS M242-Gwendolyn Powell Brown Computer School,Denise Gomez,EMS,Elementary,60.06,B ,56.3,5.9,C ,6,C ,40.9,A ,3.5,C
03M243,3,M.S. 243 Center School,Elaine Schwartz,EMS,Middle,3.59,B ,42.4,13.3,A ,15.5,A ,13.6,D ,0,B
03M245,3,M.S. M245 The Computer School,Henry Zymeck,EMS,Middle,3.15,B ,48.6,12.6,A ,12.2,B ,20.3,C ,3.5,B
03M247,3,M.S. M247 Dual Language Middle School,Claudia Aguirre,EMS,Middle,2.19,A ,79.2,14.3,A ,13.7,B ,42.7,A ,8.5,A
03M250,3,M.S. 250 West Side Collaborative Middle School,Jeanne Rotunda,EMS,Middle,2.09,B ,45.6,13.5,A ,11.5,B ,19.1,C ,1.5,A
03M256,3,M.S. 256 Academic & Athletic Excellence,Jeffrey S. Perl,EMS,Middle,1.9,B ,50.8,8,B ,6.4,D ,33.4,B ,3,C
03M258,3,Community Action School - MS 258,John Curry,EMS,Middle,2.05,A ,66.9,11.9,A ,14.2,B ,34.7,B ,6,A
03M333,3,P.S. 333 Manhattan School for Children,Susan Rappaport,EMS,K-8,24.17,B ,41.6,6.9,B ,8.2,C ,22,C ,4.5,C
03M334,3,The Anderson School,Jodi Hyde,EMS,K-8,6.65,A ,85.1,11.5,A ,23.8,A ,49.8,A ,0,A
03M415,3,Wadleigh Secondary School for the Performing & Vis,Herma Hall,EMS,Middle,2.03,D ,16.3,1.3,F ,6,D ,8,F ,1,C
03M421,3,WEST PREP ACADEMY,Roberto Padilla,EMS,Middle,1.96,C ,36.7,2.8,D ,6.3,D ,24.1,C ,3.5,
03M859,3,Special Music School,Katherine Banucci-Smith,EMS,K-8,6.78,A ,82,8,B ,23,A ,51,A ,0,A
03M860,3,Frederick Douglass Academy II Secondary School,Osei Owusu-Afriyie,EMS,Middle,2.01,F ,13.9,2,F ,3.1,F ,8.3,F ,0.5,C
03M862,3,Mott Hall II,Ana De Los Santos,EMS,Middle,2.88,A ,78.7,10.1,A ,16,A ,42.6,A ,10,A
04M007,4,P.S. 007 Samuel Stern,Racquel Jones,EMS,K-8,58.36,C ,34.4,5.1,C ,7,C ,20.8,C ,1.5,A
04M012,4,Tag Young Scholars,Janette Cesar,EMS,K-8,38.81,B ,56.4,10.6,A ,20.5,A ,25.3,B ,0,A
04M013,4,J.H.S. 013 Jackie Robinson,Jacob Michelman,EMS,Middle,1.94,C ,32.2,3.1,D ,4.6,D ,21.5,C ,3,C
04M037,4,River East Elementary,Alison Mckenzie,EMS,Elementary,59.46,C ,37.4,12.5,A ,8.5,C ,16.4,C ,0,B
04M038,4,P.S. 38 Roberto Clemente,Norma Caraballo,EMS,Elementary,62.06,B ,46.3,3.4,D ,5.5,D ,34.4,A ,3,C
04M045,4,M.S. 45/S.T.A.R.S. Prep Academy,Tomasz Grabski,EMS,Middle,1.87,C ,33.7,4.8,C ,4.4,D ,24.4,C ,0,C
04M050,4,P.S. 050 Vito Marcantonio,Cynthia Rochez,EMS,K-8,66.27,C ,32.5,2.9,D ,4.7,D ,23.9,C ,1,C
04M057,4,James Weldon Johnson,Israel Soto,EMS,K-8,63.19,A ,72.4,12.7,A ,15.1,A ,33.6,B ,11,A
04M072,4,The Lexington Academy,Antonio Hernandez,EMS,Elementary,66.16,D ,20.9,10.4,A ,7.8,C ,2.7,F ,0,A
04M083,4,P.S. 083 Luis Munoz Rivera,Frances Castillo,EMS,Elementary,55.24,A ,77.8,11,A ,18,A ,44.8,A ,4,A
04M096,4,P.S. 096 Joseph Lanzetta,Noel Rios,EMS,K-8,63.1,B ,46.2,3.9,C ,5.6,D ,33.1,B ,3.5,C
04M102,4,P.S. 102 Jacques Cartier,Sandra Gittens,EMS,Elementary,71.08,B ,45.1,10.2,A ,9.1,C ,22.7,C ,3,A
04M108,4,P.S. 108 Assemblyman Angelo Del Toro Educational C,Lourdes Arroyo,EMS,K-8,61.75,A ,77.2,9.8,A ,13.5,B ,44.3,A ,9.5,B
04M112,4,P.S. 112 Jose Celso Barbosa,Eileen Reiter,EC,K-2,64.2,A ,43.9,10.1,A ,9.6,B ,15.2,B ,9,B
04M146,4,P.S. 146 Ann M. Short,Mona Silfen,EMS,Elementary,72.58,A ,57.7,5.3,C ,3.6,D ,42.3,A ,6.5,C
04M155,4,P.S. 155 William Paca,Lillian Raimundi Ortiz,EMS,Elementary,69.25,B ,44.5,8.3,B ,5,D ,27.7,B ,3.5,B
04M171,4,P.S. 171 Patrick Henry,Dimitres Pantelidis,EMS,K-8,57.56,B ,54.6,10.3,A ,13.8,B ,23.5,C ,7,A
04M182,4,The Bilingual Bicultural School,Andrea Hernandez,EMS,Elementary,65.31,B ,41.6,9.2,A ,13.6,B ,18.3,C ,0.5,A
04M206,4,P.S. 206 Jose Celso Barbosa,Myrna Rodriguez,EMS,Elementary,65.51,D ,24.9,8.4,B ,10.1,B ,3.9,F ,2.5,C
04M224,4,M.S. 224 Manhattan East School for Arts & Academic,Liliana Sarro,EMS,Middle,3.23,C ,29.6,5.6,C ,8.6,C ,15.3,C ,0,C
04M372,4,ESPERANZA PREPARATORY ACADEMY,Alex Estrella,EMS,Middle,1.91,A ,69.9,13.2,A ,9.9,C ,39.8,A ,7,A
04M375,4,Mosaic Preparatory Academy,Lisette Caesar,EMS,Elementary,62.12,D ,18.5,9.3,A ,2.3,D ,5.9,F ,1,B
04M377,4,Renaissance School of the Arts,Tammy Pate,EMS,Middle,1.91,D ,20.4,8,B ,6,D ,5.3,F ,1,A
04M381,4,Global Neighborhood Secondary School,Luis Genao,EMS,Middle,1.72,B ,43.4,7.6,B ,3.7,D ,28.6,B ,3.5,C
04M406,4,GLOBAL TECHNOLOGY PREPARATORY,Chrystina Russell,EMS,Middle,1.94,A ,75.1,13.9,A ,13.1,B ,40.6,A ,7.5,
04M497,4,Central Park East I,Julie Zuckerman,EMS,Elementary,40.3,C ,31.3,10.7,A ,6.9,C ,13.7,D ,0,C
04M610,4,Young Women's Leadership School,Althea Bradshaw-Tyson,EMS,Middle,3.15,B ,41.5,11.3,A ,8.6,C ,20.6,C ,1,C
04M825,4,Isaac Newton Middle School for Math & Science,Lisa Nelson,EMS,Middle,2.59,D ,22.8,8.1,B ,5.1,D ,8.6,D ,1,C
04M964,4,Central Park East II,Naomi Smith,EMS,Elementary,48.14,A ,65,12.3,A ,9,C ,41.7,A ,2,B
05M030,5,P.S. 030 Hernandez/Hughes,Teri Stinson,EMS,Elementary,64.81,D ,19.5,4.4,C ,1.4,F ,12.7,D ,1,A
05M036,5,P.S. 036 Margaret Douglas,Cynthia Mullins-Simmons,EMS,Elementary,59.37,C ,34.8,4.7,C ,5.1,D ,22.9,C ,2,B
05M046,5,P.S. 046 Arthur Tappan,George Young,EMS,K-8,64.3,B ,43.9,10,A ,7.3,C ,25.1,B ,1.5,C
05M092,5,P.S. 092 Mary McLeod Bethune,Rosa Davila,EMS,Elementary,63.94,B ,42.9,8.3,B ,6.1,C ,25.9,B ,2.5,B
05M123,5,P.S. 123 Mahalia Jackson,Beverly Lewis,EMS,K-8,61.43,D ,24.3,5.2,C ,2.9,F ,15.7,C ,0.5,C
05M125,5,P.S. 125 Ralph Bunche,Rafaela Espinal Pacheco,EMS,Elementary,61.11,C ,31.6,4.9,C ,3.7,D ,23,C ,0,B
05M129,5,P.S. 129 John H. Finley,Odelphia Pierre,EMS,K-8,60.9,C ,39.2,7.6,B ,6.3,C ,22.8,C ,2.5,B
05M133,5,P.S. 133 Fred R Moore,Susan M. Vairo,EMS,Elementary,62.31,C ,31.5,1.2,F ,4.9,D ,22.4,C ,3,C
05M154,5,P.S. 154 Harriet Tubman,Elizabeth Jarrett,EMS,Elementary,65.41,D ,25.6,7.5,B ,4,D ,13.1,D ,1,C
05M161,5,P.S. 161 Pedro Albizu Campos,Barbara Freeman,EMS,K-8,67.92,B ,46.4,10.3,A ,8.5,C ,23.1,C ,4.5,B
05M175,5,P.S. 175 Henry H Garnet,Cheryl Mcclendon,EMS,Elementary,59.34,B ,44.4,4.8,C ,8.4,C ,31.2,B ,0,B
05M194,5,P.S. 194 Countee Cullen,Charyn Koppelson Cleary,EMS,Elementary,67.77,D ,19.5,1.2,F ,0.8,F ,16,C ,1.5,C
05M195,5,I.S. 195 Roberto Clemente,Rosarie Jean,EMS,Middle,1.86,,,,,,,,,,D
05M197,5,P.S. 197 John B. Russwurm,Renardo Wright,EMS,Elementary,60.13,F ,11.9,7.3,B ,2.6,D ,0,F ,2,B
05M200,5,P.S. 200- The James Mccune Smith School,Renee Y. Belton,EMS,Elementary,60.74,C ,28.8,4.7,C ,5.9,C ,16.1,C ,2,B
05M286,5,I.S. M286 Renaissance Military Leadership Academy,Qadir Ben Dixon,EMS,Middle,2.26,C ,37.9,9.6,A ,7.8,C ,19.4,C ,1,C
